clip,blink_id,startFrame,endFrame,frameLength,fullyClosedFrames,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,beforeFirstExportedDetection,matched
26122013_230654_cam,7,936,942,7,0,0,31.3798,31.2,0,0.0329,0.0797,31,6.61120360317134,7.253889071214585,7.253889071214585,true,30,0,0,0
26122013_230654_cam,18,3065,3073,9,1,0,102.32,102.1667,0,0.048,0.048,102,8.196820885080534,9.98348776121856,7.253889071214585,true,30,0,0,0
26122013_230654_cam,19,3235,3239,5,0,0,107.984,107.8333,0,0.032,0.032,107,8.113807814931363,9.98348776121856,7.253889071214585,true,30,0,0,0
26122013_230654_cam,23,3952,3959,8,1,0,131.887,131.7333,0,0.032,0.048,131,7.99013555233369,9.98348776121856,7.253889071214585,true,30,0,0,0
27122013_151644_cam,14,3407,3413,7,3,0,114.215,113.5667,0,0.032,0.032,113,2.4470718977452397,6.963419278684864,6.542289109312366,true,30,0,0,0
27122013_151644_cam,21,5353,5358,6,2,0,179.093,178.4333,0,0.047,0.047,178,6.11802211307138,6.963419278684864,6.542289109312366,true,30,0,0,0
27122013_152435_cam,22,2481,2500,20,18,0,82.6728,82.7,0,0.0483,0.0483,82,6.713558711709562,7.463709155006244,7.288668740313595,true,30,0,0,0
27122013_152435_cam,23,2665,2688,24,20,0,88.8005,88.8333,0,0.0482,0.0482,88,6.265598954721525,7.463709155006244,7.288668740313595,true,30,0,0,0
27122013_152435_cam,25,2968,3000,33,24,0,98.9281,98.9333,0,0.0479,0.0479,98,7.8194146070548864,7.463709155006244,7.288668740313595,true,30,0,0,0
27122013_152435_cam,26,3251,3257,7,2,0,108.352,108.3667,0,0.032,0.032,108,6.737710798841707,7.463709155006244,7.288668740313595,true,30,0,0,0
