clip,startFrame,endFrame,frameLength,durationMs,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,framesToNearestAnnotatedBlink
27122013_153916_cam,9047,9048,2,33.3,0,301.709,301.5667,0,0.032,0.032,301,7.524483173897127,7.340682645846147,6.4718727561209,true,30,0,1
27122013_154548_cam,392,399,8,233.3,0,13.0889,13.0667,1,0.0486,0.0486,13,4.8737603014801865,,,true,30,1,82
27122013_154548_cam,1710,1713,4,100.0,0,57.0078,57.0,0,0.032,0.0322,57,2.0338506297776444,6.77298460775431,6.77298460775431,true,30,0,0
27122013_154548_cam,3766,3768,3,66.7,0,125.565,125.5333,0,0.032,0.048,125,1.1994647048826872,6.927742183893276,6.77298460775431,true,30,0,0
27122013_154548_cam,4530,4533,4,100.0,0,151.02,151.0,0,0.048,0.048,151,1.915473487533386,6.927742183893276,6.77298460775431,true,30,0,0
27122013_154548_cam,4705,4707,3,66.7,0,156.86,156.8333,0,0.032,0.032,156,6.142433614755867,6.927742183893276,6.77298460775431,true,30,0,0
26122013_224532_cam,345,346,2,33.3,0,12.555,11.5,1,0.0321,0.0324,11,6.71950739335754,,,true,30,1,0
26122013_224532_cam,744,745,2,33.3,0,25.8344,24.8,1,0.0317,0.0323,24,6.103361336842094,,,true,30,1,0
26122013_224532_cam,1287,1288,2,33.3,0,43.9453,42.9,0,0.0322,0.0322,42,6.548628070159376,8.059335400894252,8.059335400894252,true,30,0,0
26122013_224532_cam,1551,1552,2,33.3,0,52.729,51.7,0,0.048,0.048,51,6.833114522481499,8.059335400894252,8.059335400894252,true,30,0,0
26122013_224532_cam,3620,3630,11,333.3,0,121.717,120.6667,0,0.048,0.048,120,7.729942605344073,8.393968175898596,8.059335400894252,true,30,0,79
26122013_224532_cam,3938,3939,2,33.3,0,134.244,131.2667,0,0.033,0.047,131,8.87650056079644,8.393968175898596,8.059335400894252,true,30,0,0
26122013_224532_cam,5240,5241,2,33.3,0,177.65,174.6667,0,0.032,0.032,174,8.321784300200822,8.725253323808609,8.059335400894252,true,30,0,0
26122013_224532_cam,5819,5820,2,33.3,0,199.361,193.9667,0,0.032,0.032,193,6.839954653481648,8.725253323808609,8.059335400894252,true,30,0,0
26122013_224532_cam,6985,6986,2,33.3,0,238.207,232.8333,0,0.032,0.032,232,8.103900695360053,8.725253323808609,8.059335400894252,true,30,0,0
26122013_224532_cam,7123,7125,3,66.7,0,242.799,237.4333,0,0.048,0.048,237,7.338669803907602,8.725253323808609,8.059335400894252,true,30,0,0
26122013_224532_cam,10348,10349,2,33.3,0,354.473,344.9333,0,0.032,0.033,344,7.43791767683747,8.725253323808609,8.059335400894252,true,30,0,0
26122013_224532_cam,10572,10573,2,33.3,0,361.96,352.4,0,0.032,0.032,352,8.044389619074344,8.725253323808609,8.059335400894252,true,30,0,0
26122013_230103_cam,3797,3802,6,166.7,0,127.464,126.5667,0,0.032,0.033,126,6.658567721842598,10.99189098974842,8.10207611497379,true,30,0,20
27122013_151644_cam,23,25,3,66.7,0,0.7464,0.7667,1,0.032,0.0321,0,6.579682608069085,,,true,30,1,0
27122013_151644_cam,223,224,2,33.3,0,7.834,7.4333,1,0.0321,0.0324,7,6.249325724954541,,,true,30,1,1
27122013_151644_cam,1001,1003,3,66.7,0,33.7692,33.3667,0,0.032,0.0323,33,5.695819749860874,6.542289109312366,6.542289109312366,true,30,0,0
27122013_151644_cam,1154,1155,2,33.3,0,38.8733,38.4667,0,0.0316,0.0324,38,6.543607693145848,6.542289109312366,6.542289109312366,true,30,0,0
27122013_151644_cam,1867,1868,2,33.3,0,62.6332,62.2333,0,0.0329,0.0507,62,5.81030640635767,6.6343196287717685,6.542289109312366,true,30,0,1
27122013_151644_cam,2601,2602,2,33.3,0,87.1758,86.7,0,0.0321,0.0323,86,6.676961146402599,6.741508786961413,6.542289109312366,true,30,0,1
27122013_151644_cam,3061,3063,3,66.7,0,102.696,102.0333,0,0.032,0.032,102,5.574834937109393,6.741508786961413,6.542289109312366,true,30,0,0
27122013_151644_cam,3604,3619,16,500.0,0,120.806,120.1333,0,0.047,0.047,120,5.683029605714739,6.963419278684864,6.542289109312366,true,30,0,161
27122013_151644_cam,4029,4030,2,33.3,0,134.951,134.3,0,0.031,0.033,134,6.360583240746594,6.963419278684864,6.542289109312366,true,30,0,1
27122013_151644_cam,4117,4118,2,33.3,0,137.878,137.2333,0,0.032,0.032,137,8.245894651236911,6.963419278684864,6.542289109312366,true,30,0,0
27122013_151644_cam,4525,4527,3,66.7,0,151.494,150.8333,0,0.033,0.047,150,6.229884263615811,6.963419278684864,6.542289109312366,true,30,0,0
27122013_151644_cam,6157,6158,2,33.3,0,205.908,205.2333,0,0.032,0.049,205,6.532789878782482,6.963419278684864,6.542289109312366,true,30,0,1
27122013_151644_cam,8553,8555,3,66.7,0,285.777,285.1,0,0.032,0.032,285,6.996993549536132,7.550801002227649,6.542289109312366,true,30,0,0
27122013_151644_cam,9736,9737,2,33.3,0,325.184,324.5333,0,0.047,0.047,324,7.093855468532002,7.550801002227649,6.542289109312366,true,30,0,0
27122013_151644_cam,9875,9877,3,66.7,0,329.824,329.1667,0,0.032,0.033,329,6.980563390018347,7.550801002227649,6.542289109312366,true,30,0,0
27122013_152435_cam,69,71,3,66.7,0,2.2757,2.3,1,0.032,0.0323,2,6.2427842199512105,,,true,30,1,44
27122013_152435_cam,383,385,3,66.7,0,12.7551,12.7667,1,0.048,0.048,12,6.3371291558123595,,,true,30,1,0
27122013_152435_cam,681,683,3,66.7,0,22.675,22.7,1,0.0481,0.0481,22,6.963788722812538,,,true,30,1,0
27122013_152435_cam,767,769,3,66.7,0,25.5388,25.5667,1,0.0479,0.0479,25,6.934367584899661,,,true,30,1,0
27122013_152435_cam,915,916,2,33.3,0,30.4665,30.5,0,0.0481,0.0481,30,6.403506348794727,7.288668740313595,7.288668740313595,true,30,0,1
27122013_152435_cam,979,981,3,66.7,0,32.6104,32.6333,0,0.0323,0.0323,32,6.937408594215155,7.288668740313595,7.288668740313595,true,30,0,0
27122013_152435_cam,1049,1051,3,66.7,0,34.9303,34.9667,0,0.0324,0.0473,34,6.506929175059918,7.288668740313595,7.288668740313595,true,30,0,0
27122013_152435_cam,1193,1195,3,66.7,0,39.7622,39.7667,0,0.0322,0.0322,39,5.756000470420317,7.288668740313595,7.288668740313595,true,30,0,1
27122013_152435_cam,1601,1603,3,66.7,0,53.3456,53.3667,0,0.0322,0.0322,53,6.390262127972903,7.288668740313595,7.288668740313595,true,30,0,0
27122013_152435_cam,1705,1707,3,66.7,0,56.8019,56.8333,0,0.0478,0.0478,56,6.28774451251894,7.288668740313595,7.288668740313595,true,30,0,0
27122013_152435_cam,1783,1784,2,33.3,0,59.4095,59.4333,0,0.0319,0.0322,59,8.330674528913384,7.288668740313595,7.288668740313595,true,30,0,1
27122013_152435_cam,3487,3488,2,33.3,0,116.208,116.2333,0,0.032,0.032,116,6.0132047852210935,7.463709155006244,7.288668740313595,true,30,0,1
27122013_152435_cam,3563,3565,3,66.7,0,118.735,118.7667,0,0.033,0.033,118,8.735485190152975,7.463709155006244,7.288668740313595,true,30,0,0
27122013_152435_cam,3617,3619,3,66.7,0,120.559,120.5667,0,0.047,0.047,120,5.8682424885852225,7.463709155006244,7.288668740313595,true,30,0,0
27122013_152435_cam,3823,3824,2,33.3,0,127.423,127.4333,0,0.032,0.032,127,6.270153811807294,7.463709155006244,7.288668740313595,true,30,0,2
27122013_152435_cam,4145,4147,3,66.7,0,138.143,138.1667,0,0.032,0.032,138,6.330335429109551,7.463709155006244,7.288668740313595,true,30,0,0
27122013_152435_cam,4435,4436,2,33.3,0,147.839,147.8333,0,0.032,0.08,147,6.563421818770575,7.463709155006244,7.288668740313595,true,30,0,1
27122013_152435_cam,4565,4566,2,33.3,0,152.158,152.1667,0,0.033,0.033,152,6.102565281725329,7.463709155006244,7.288668740313595,true,30,0,1
27122013_152435_cam,4955,4956,2,33.3,0,165.15,165.1667,0,0.034,0.034,165,9.629689418021552,7.463709155006244,7.288668740313595,true,30,0,1
27122013_152435_cam,4979,4980,2,33.3,0,165.95,165.9667,0,0.041,0.041,165,9.629689418021552,7.463709155006244,7.288668740313595,true,30,0,1
27122013_152435_cam,5041,5042,2,33.3,0,168.014,168.0333,0,0.032,0.032,168,8.85983414309217,8.878725567799497,7.288668740313595,true,30,0,1
