clip,startFrame,endFrame,frameLength,durationMs,overlapsNF,startTimeSeconds,startTimeSecondsAt30fps,inFirstThirtySeconds,maxInterFrameGapInsideBlink,maxInterFrameGapWithEdges,secondsRowIndex,apertureMmAtThatSecond,baselineMmAtThatSecond,shutBaselineMmAtThatSecond,faceDetectedAtThatSecond,baselineReadySecond,beforeBaselineReady,framesToNearestAnnotatedBlink,kind
27122013_151644_cam,3604,3619,16,500.0,0,120.806,120.1333,0,0.047,0.047,120,5.699501936029618,6.959959016971425,6.5169963523863625,true,30,0,161,phantom_far_from_any_blink
27122013_151644_cam,4117,4119,3,66.7,0,137.878,137.2333,0,0.032,0.032,137,8.29863522407129,6.959959016971425,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
27122013_151644_cam,4525,4527,3,66.7,0,151.494,150.8333,0,0.033,0.047,150,6.1567030269332985,6.959959016971425,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
27122013_151644_cam,9736,9737,2,33.3,0,325.184,324.5333,0,0.047,0.047,324,7.194607482207566,7.604064389083875,6.5169963523863625,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,767,769,3,66.7,0,25.5388,25.5667,1,0.0479,0.0479,25,6.991587629920423,,,true,30,1,0,double_fire_on_a_real_blink
27122013_152435_cam,915,916,2,33.3,0,30.4665,30.5,0,0.0481,0.0481,30,6.397983268169996,7.386559210947552,7.386559210947552,true,30,0,1,double_fire_on_a_real_blink
27122013_152435_cam,1601,1603,3,66.7,0,53.3456,53.3667,0,0.0322,0.0322,53,6.368276487559172,7.386559210947552,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,1705,1707,3,66.7,0,56.8019,56.8333,0,0.0478,0.0478,56,6.37068197433592,7.386559210947552,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,1783,1784,2,33.3,0,59.4095,59.4333,0,0.0319,0.0322,59,8.343386323292098,7.386559210947552,7.386559210947552,true,30,0,1,double_fire_on_a_real_blink
27122013_152435_cam,1921,1922,2,33.3,0,64.0013,64.0333,0,0.032,0.0322,64,3.7551573167733627,7.4309055389640495,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,3487,3489,3,66.7,0,116.208,116.2333,0,0.032,0.032,116,5.996639068836236,7.460365853394371,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,3617,3619,3,66.7,0,120.559,120.5667,0,0.047,0.047,120,5.918778304711621,7.460365853394371,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,3627,3628,2,33.3,0,120.895,120.9,0,0.032,0.033,120,5.918778304711621,7.460365853394371,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,3823,3825,3,66.7,0,127.423,127.4333,0,0.032,0.032,127,6.269292509924121,7.460365853394371,7.386559210947552,true,30,0,1,double_fire_on_a_real_blink
27122013_152435_cam,4565,4567,3,66.7,0,152.158,152.1667,0,0.033,0.033,152,6.145930987890029,7.460365853394371,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
27122013_152435_cam,4955,4956,2,33.3,0,165.15,165.1667,0,0.034,0.034,165,9.599493267276898,7.460365853394371,7.386559210947552,true,30,0,1,double_fire_on_a_real_blink
27122013_152435_cam,4979,4980,2,33.3,0,165.95,165.9667,0,0.041,0.041,165,9.599493267276898,7.460365853394371,7.386559210947552,true,30,0,1,double_fire_on_a_real_blink
27122013_152435_cam,5002,5005,4,100.0,0,166.718,166.7333,0,0.032,0.048,166,4.239395376012234,7.460365853394371,7.386559210947552,true,30,0,0,double_fire_on_a_real_blink
